"Award_Identifier","Extending_Organization","Extending_Organization_Office","Accountable_Organization","Accountable_Organization_Office","Implementing_Organization","Implementing_Organization_Type","Implementing_Organization_Country","Implementing_Organization_DUNS_Number","Award_Title","Award_Description","Award_Status","Award_Collaboration_Type","Award_Total_Estimated_Value","Award_Interagency_Transfer_Status","Award_Start_Date","Award_End_Date","Recipient_Location","Award_Transaction_Description ","Award_Transaction_Value","Award_Transaction_Type","Award_Transaction_Date","Award_Transaction_Fiscal_Year","Award_Transaction_Fiscal_Quarter","Award_Transaction_Aid_Type","Award_Transaction_Tied_Status","Award_Transaction_Flow_Type","Award_Transaction_Finance_Type","Award_Transaction_DAC_Purpose_Code","Award_Transaction_DAC_Purpose_Code_Name","Award_Transaction_US_Foreign_Assistance_Code","Award_Transaction_US_Foreign_Assistance_Category","Award_Transaction_US_Foreign_Assistance_Sector","Treasury_Account_Codes","Treasury_Account_Title","Treasury_Account_Start_Fiscal_Year","Treasury_Account_End_Fiscal_Year","Data_Submission_Date"
"15R038","Department of Defense","HQ U.S. European Command","Department of Justice","Drug Enforcement Administration","Drug Enforcement Administration","Government","United States","878881879","HQ USEUCOM CNT funds are provided to DEA for various training events within the USEUCOM AOR.","Jandarma Beta course, counternarcotics training, Turkey.","Implementation","Multilateral","718863","Economy Act","2015-07-14 00:00:00","2015-09-30 00:00:00","Turkey","DISBURSEMENT","2200","Disbursement","2015-09-01 00:00:00","2015","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","16063","Narcotics control","1004","Peace and Security","Counter-Narcotics","11 1022","International Narcotics Control and Law Enforcement, International Security Assistance, State","2015","2015","2015-12-31 00:00:00"
"05343635","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","669.38999999999999","Disbursement","2017-09-05 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"27EAA871","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","45.920000000000002","Disbursement","2016-12-27 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"04C0B45A","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","304.80000000000001","Disbursement","2016-10-24 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"715974A7BAA4","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Personal Services Contractors - USAID","","","790238638","Purchase Order","This award is for a purchase order of the U.S. Agency for International Development.","Completion","Bilateral","0","Direct Appropriation","2017-10-01 00:00:00","2018-09-30 00:00:00","Turkey","This award is for a purchase order of the U.S. Agency for International Development.","1949.4000000000001","Disbursement","2018-09-30 00:00:00","2018","4","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster and Famine Assistance","0","0","2018-09-30 00:00:00"
"597BA150","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","-678.02999999999997","Disbursement","2017-03-17 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"F26F4704","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Reversal","-90.280000000000001","Commitment","2016-12-09 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"D5EC495F","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","1713.3","Disbursement","2016-12-29 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"277-MOD-82100701-FFP","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Unspecified Vendors - Bosnia and Herzegovina","","","","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Implementation","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","162","Disbursement","2018-03-31 00:00:00","2018","2","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2018-03-31 00:00:00"
"D9A5ABCF","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","9.3000000000000007","Disbursement","2017-04-26 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"0C84BC4D","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Reversal","-15.1","Commitment","2017-05-12 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"15R038","Department of Defense","HQ U.S. European Command","Department of Justice","Drug Enforcement Administration","Drug Enforcement Administration","Government","United States","878881879","HQ USEUCOM CNT funds are provided to DEA for various training events within the USEUCOM AOR.","Jandarma Beta course, counternarcotics training, Turkey.","Implementation","Multilateral","718863","Economy Act","2015-07-14 00:00:00","2015-09-30 00:00:00","Turkey","DISBURSEMENT","1280","Disbursement","2015-08-06 00:00:00","2015","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","16063","Narcotics control","1004","Peace and Security","Counter-Narcotics","11 1022","International Narcotics Control and Law Enforcement, International Security Assistance, State","2015","2015","2015-12-31 00:00:00"
"14R312","U.S. Department of State","State Department","Department of Justice","Drug Enforcement Administration","Drug Enforcement Administration","Government","United States","878881879","IN23C104 International Narcotics and Law Enforcement/ Europe and Asia Programs","Training program for the Central Asian Republics in cooperation with the Turkish Academy Against Drugs and Organized Crime (TADOC).","Implementation","Multilateral","492822","632b","2014-04-30 00:00:00","2016-04-29 00:00:00","Turkey","DISBURSEMENT","6360.8199999999997","Disbursement","2015-09-08 00:00:00","2015","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","16063","Narcotics control","1004","Peace and Security","Counter-Narcotics","11 1022","International Narcotics Control and Law Enforcement, International Security Assistance, State","2013","2014","2015-12-31 00:00:00"
"81A56F09","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","4676","Disbursement","2017-05-30 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"D76F31FB","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","193.31999999999999","Disbursement","2017-05-30 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"SLMAQM17CA2071","U.S. Department of State","","U.S. Department of State","Bureau Of International Security And Nonproliferation","INTERNATIONAL ORGANIZATION FOR MIGRATION","Other Public Sector","","003548489","Turkish Syrian Border Crossing","NON-PROLIFERATION","Implementation","Bilateral","0","Direct Appropriation","2017-09-30 00:00:00","2018-09-28 00:00:00","Turkey","Original","252340","Commitment","2017-09-30 00:00:00","2017","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","15220","Civilian peace-building, conflict prevention and resolution","1001","Peace and Security","Counter-Terrorism","11 1075","Nonproliferation, Anti-Terrorism, Demining and Related Programs, International Security Assistance, State","2016","2017","2018-01-29 00:00:00"
"14R312","U.S. Department of State","State Department","Department of Justice","Drug Enforcement Administration","Drug Enforcement Administration","Government","United States","878881879","IN23C104 International Narcotics and Law Enforcement/ Europe and Asia Programs","Training program for the Central Asian Republics in cooperation with the Turkish Academy Against Drugs and Organized Crime (TADOC).","Implementation","Multilateral","492822","632b","2014-04-30 00:00:00","2016-04-29 00:00:00","Turkey","COMMITMENT","-7864.5600000000004","Commitment","2015-11-09 00:00:00","2016","1","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","16063","Narcotics control","1004","Peace and Security","Counter-Narcotics","11 1022","International Narcotics Control and Law Enforcement, International Security Assistance, State","2013","2014","2015-12-31 00:00:00"
"BF-CR-15-002","U.S. Department of Agriculture","Office of Capacity Building and Development - Trade and Scientific Exchange Division","U.S. Department of Agriculture","Foreign Agricultural Service","MICHIGAN STATE UNIVERSITY","Academic, Training and Research","United States","193247145","Borlaug Fellowship Program_Biotechnology","The Borlaug Fellowship Program promotes food security and economic growth by providing training and collaborative research opportunities to fellows from developing and middle-income countries.","Implementation","Bilateral","35856.699999999997","Direct Appropriation","2015-07-15 00:00:00","2017-07-31 00:00:00","Turkey","Implementation of the Borlaug Fellowship Program","2868.0999999999999","Disbursement","2016-10-14 00:00:00","2017","1","Contributions to specific-purpose programmes and funds managed by international ","Partially tied","ODA","Aid grant excluding debt reorganisation","31182","Agricultural research","5005","Economic Development","Agriculture","12 2900","Salaries and Expenses, Foreign Agricultural Service, Agriculture","2014","0","2017-02-23 00:00:00"
"FB2E8460","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Correction","-1090.1900000000001","Disbursement","2017-01-17 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"A9B3618E","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","97.489999999999995","Disbursement","2017-04-17 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"5CAD87AA","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","748.98000000000002","Disbursement","2017-08-15 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"93E3F27E","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Reversal","-151.44","Commitment","2017-07-31 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"14R312","U.S. Department of State","State Department","Department of Justice","Drug Enforcement Administration","Drug Enforcement Administration","Government","United States","878881879","IN23C104 International Narcotics and Law Enforcement/ Europe and Asia Programs","Training program for the Central Asian Republics in cooperation with the Turkish Academy Against Drugs and Organized Crime (TADOC).","Implementation","Multilateral","492822","632b","2014-04-30 00:00:00","2016-04-29 00:00:00","Turkey","DISBURSEMENT","140.80000000000001","Disbursement","2015-09-30 00:00:00","2015","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","16063","Narcotics control","1004","Peace and Security","Counter-Narcotics","11 1022","International Narcotics Control and Law Enforcement, International Security Assistance, State","2013","2014","2015-12-31 00:00:00"
"14R312","U.S. Department of State","Bureau of International Narcotics and Law Enforcement Affairs","Department of Justice","Drug Enforcement Agency","Department of Justice Drug Enforcement Agency","Government","United States","878881879","IN23C104 International Narcotics and Law Enforcement/ Europe and Asia Programs","Training program for the Central Asian Republics in cooperation with the Turkish Academy Against Drugs and Organized Crime (TADOC).","Completion","Multilateral","492822","632b","2014-04-30 00:00:00","2016-04-29 00:00:00","Turkey","DISBURSEMENT","400","Disbursement","2017-01-12 00:00:00","2017","2","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","16063","Narcotics control","1004","Peace and Security","Counter-Narcotics","11 1022","International Narcotics Control and Law Enforcement, International Security Assistance, State","2013","2014","2017-05-04 00:00:00"
"14R312","U.S. Department of State","Bureau of International Narcotics and Law Enforcement Affairs","Department of Justice","Drug Enforcement Agency","Department of Justice Drug Enforcement Agency","Government","United States","878881879","IN23C104 International Narcotics and Law Enforcement/ Europe and Asia Programs","Training program for the Central Asian Republics in cooperation with the Turkish Academy Against Drugs and Organized Crime (TADOC).","Completion","Multilateral","492822","632b","2014-04-30 00:00:00","2016-04-29 00:00:00","Turkey","Commitment","500","Commitment","2017-06-28 00:00:00","2017","3","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","16063","Narcotics control","1004","Peace and Security","Counter-Narcotics","11 1022","International Narcotics Control and Law Enforcement, International Security Assistance, State","2013","2014","2017-07-28 00:00:00"
"FE16B39D","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Reversal","-143.5","Commitment","2016-11-29 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"3B58BAB7","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","2272","Disbursement","2017-07-11 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"63988989","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","59.020000000000003","Disbursement","2017-03-31 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"53E99E2D","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","205","Disbursement","2017-03-28 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"AID-ASHA-A-12-00002","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Office of the Board of Trustees Robert College of Istanbul","Academic, Training and Research","","780072893","Higher Education","FY 2012 - Robert College","Completion","Bilateral","200000","Direct Appropriation","2013-10-01 00:00:00","2017-09-30 00:00:00","Turkey","FY 2012 - Robert College","65036","Disbursement","2016-12-31 00:00:00","2017","1","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","11420","Higher education","4002","Education and Social Services","Higher Education","72 1021","Development Assistance, Agency for International Development, Funds Appropriated to the President","2012","2013","2016-12-31 00:00:00"
"ACA0A630","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","256","Disbursement","2017-07-11 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"3AD58673","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","-23.390000000000001","Disbursement","2016-11-30 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"21A46B1CCB30","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Vendor implementing direct administrative services","","","","Administration and Oversight","This award is for a direct administrative costs or operating expenses of the U.S. Agency for International Development.","Completion","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2017-09-30 00:00:00","Turkey","This award is for a direct administrative costs or operating expenses of the U.S. Agency for International Development.","800","Commitment","2016-12-31 00:00:00","2017","1","Administrative costs not included elsewhere","Tied","ODA","Aid grant excluding debt reorganisation","43010","Multisector aid","4005","Education and Social Services","Social Assistance","72 1027","Transition Initiatives, Funds Appropriated to the President, US Agency for International Development","0","0","2016-12-31 00:00:00"
"STU15016GR059","U.S. Department of State","","U.S. Department of State","Bureau Of European And Eurasian Affairs","Miscus","Other Public Sector","","","S-TU-150-16-GR-059- SPOD - 01-01-16/01-01-17","S-TU-150-16-GR-059- SPOD - 01-01-16/01-01-17","Completion","Bilateral","0","","","","Turkey","Correction-grants","-5000","Commitment","2018-06-13 00:00:00","2018","3","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","151","Economic and development policy/planning","2000","Democracy, Human Rights, and Governance","Democracy, Human Rights, and Governance - General","19 1121","Democracy Fund","2015","2016",""
"277-19BK8018P0284","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Unspecified Vendors - Bosnia and Herzegovina","","","","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Completion","Bilateral","0","Direct Appropriation","2017-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","-587.80999999999995","Disbursement","2018-09-30 00:00:00","2018","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","0","0","2018-09-30 00:00:00"
"D499123D","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","454","Disbursement","2017-01-11 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"02F53EC5","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","3558.4000000000001","Disbursement","2017-07-26 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"AID-ASHA-A-12-00002","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Office of the Board of Trustees Robert College of Istanbul","Academic, Training and Research","","780072893","Higher Education","FY 2012 - Robert College","Completion","Bilateral","200000","Direct Appropriation","2013-10-01 00:00:00","2017-09-30 00:00:00","Turkey","MOD 1- remove cost elememts for renovation and A/E services totaling $85,690 and allocate the funds to Durable Commodites and change project description reflecting grant to all commodities.","36891","Disbursement","2015-12-31 00:00:00","2016","1","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","11420","Higher education","4002","Education and Social Services","Higher Education","72 1021","Development Assistance, Agency for International Development, Funds Appropriated to the President","2012","2013","2015-12-31 00:00:00"
"5E8AE124","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","793.19000000000005","Disbursement","2017-06-01 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"38D11FFE","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","189.53","Disbursement","2016-11-25 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"3A292291","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","3678.4000000000001","Disbursement","2017-03-31 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"000001","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Amendment","-129.44","Commitment","2017-04-28 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"6348FCA1","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","60","Disbursement","2017-04-26 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"8B119A02","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","265.05000000000001","Disbursement","2017-03-09 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
